Season,Matchnumber,Venue,Date_Time,Winningteam,Firstteam,Secondteam,Link
2008,59,"DY Patil Stadium, NAVI MUMBAI","JUN, SUN 1 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 3 WICKETS,"CHENNAI SUPER KINGS
163/5
(20 OV)","RAJASTHAN ROYALS
164/7
(20 OV )",https://www.iplt20.com/match/2008/10058
2008,58,"Wankhede Stadium, Mumbai","MAY, SAT 31 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 9 WICKETS,"CHENNAI SUPER KINGS
116/1
(14.5 OV)","PUNJAB KINGS
112/8
(20 OV )",https://www.iplt20.com/match/2008/10057
2008,57,"Wankhede Stadium, Mumbai","MAY, FRI 30 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 105 RUNS,"DELHI DAREDEVILS
87
(16.1 OV)","RAJASTHAN ROYALS
192/9
(20 OV )",https://www.iplt20.com/match/2008/10056
2008,56,"IS Bindra Stadium, Mohali","MAY, WED 28 , 8:00 pm IST",PUNJAB KINGS WON BY 41 RUNS,"PUNJAB KINGS
221/3
(20 OV)","RAJASTHAN ROYALS
180/7
(20 OV )",https://www.iplt20.com/match/2008/10055
2008,55,"M. Chinnaswamy Stadium, Bengaluru","MAY, WED 28 , 4:00 pm IST",MUMBAI INDIANS WON BY 9 WICKETS,"ROYAL CHALLENGERS BANGALORE
122/9
(18 OV)","MUMBAI INDIANS
126/1
(16 OV )",https://www.iplt20.com/match/2008/10054
2008,54,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, TUE 27 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,"DECCAN CHARGERS
147/8
(20 OV)","CHENNAI SUPER KINGS
148/3
(19.2 OV )",https://www.iplt20.com/match/2008/10053
2008,53,"Sawai Mansingh Stadium, Jaipur","MAY, MON 26 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 5 WICKETS,"RAJASTHAN ROYALS
146/5
(20 OV)","MUMBAI INDIANS
145/7
(20 OV )",https://www.iplt20.com/match/2008/10052
2008,52,"Eden Gardens, Kolkata","MAY, SUN 25 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,"KOLKATA KNIGHT RIDERS
175/7
(19.4 OV)","PUNJAB KINGS
174/6
(20 OV )",https://www.iplt20.com/match/2008/10051
2008,51,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, SUN 25 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,"DECCAN CHARGERS
165
(20 OV)","ROYAL CHALLENGERS BANGALORE
171/5
(19 OV )",https://www.iplt20.com/match/2008/10050
2008,50,"Arun Jaitley Stadium, Delhi","MAY, SAT 24 , 8:00 pm IST",DELHI DAREDEVILS WON BY 5 WICKETS,"DELHI DAREDEVILS
179/5
(19.5 OV)","MUMBAI INDIANS
180/8
(20 OV )",https://www.iplt20.com/match/2008/10049
2008,49,"M. A. Chidambaram Stadium, Chennai","MAY, SAT 24 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 10 RUNS,"CHENNAI SUPER KINGS
201/7
(20 OV)","RAJASTHAN ROYALS
211/5
(20 OV )",https://www.iplt20.com/match/2008/10048
2008,48,"IS Bindra Stadium, Mohali","MAY, FRI 23 , 8:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,"PUNJAB KINGS
178/4
(19.3 OV)","DECCAN CHARGERS
175/4
(20 OV )",https://www.iplt20.com/match/2008/10047
2008,47,"Arun Jaitley Stadium, Delhi","MAY, THU 22 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,DELHI DAREDEVILS,KOLKATA KNIGHT RIDERS,https://www.iplt20.com/match/2008/10046
2008,46,"M. A. Chidambaram Stadium, Chennai","MAY, WED 21 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 14 RUNS,"CHENNAI SUPER KINGS
112/8
(20 OV)","ROYAL CHALLENGERS BANGALORE
126/8
(20 OV )",https://www.iplt20.com/match/2008/10045
2008,45,"Wankhede Stadium, Mumbai","MAY, WED 21 , 4:00 pm IST",PUNJAB KINGS WON BY 1 RUN,"MUMBAI INDIANS
188
(20 OV)","PUNJAB KINGS
189/4
(20 OV )",https://www.iplt20.com/match/2008/10044
2008,44,"Eden Gardens, Kolkata","MAY, TUE 20 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 6 WICKETS,"KOLKATA KNIGHT RIDERS
147/8
(20 OV)","RAJASTHAN ROYALS
150/4
(16.3 OV )",https://www.iplt20.com/match/2008/10043
2008,43,"M. Chinnaswamy Stadium, Bengaluru","MAY, MON 19 , 8:00 pm IST",DELHI DAREDEVILS WON BY 5 WICKETS,"ROYAL CHALLENGERS BANGALORE
154/7
(20 OV)","DELHI DAREDEVILS
158/5
(18.2 OV )",https://www.iplt20.com/match/2008/10042
2008,42,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, SUN 18 , 8:00 pm IST",MUMBAI INDIANS WON BY 25 RUNS,"DECCAN CHARGERS
153/7
(20 OV)","MUMBAI INDIANS
178/7
(20 OV )",https://www.iplt20.com/match/2008/10041
2008,41,"Eden Gardens, Kolkata","MAY, SUN 18 , 4:00 pm IST",CSK WON BY 3 RUNS (D/L METHOD),"KOLKATA KNIGHT RIDERS
149/5
(20 OV)","CHENNAI SUPER KINGS
55/0
(8 OV )",https://www.iplt20.com/match/2008/10040
2008,40,"Arun Jaitley Stadium, Delhi","MAY, SAT 17 , 8:00 pm IST",KINGS XI PUNJAB WON BY 6 RUNS (D/L METHOD),"DELHI DAREDEVILS
118/4
(11 OV)","PUNJAB KINGS
94/3
(8 OV )",https://www.iplt20.com/match/2008/10039
